, where, what, value
0, driver, kernel_time, 0.000014870000
1, driver, total_time, 0.000281807000
2, driver, kernel_time 0, 0.000014870000
3, GPU1.CommandProcessor, kernel_time, 0.000014281000
4, GPU1.CommandProcessor, kernel_time 0, 0.000014870000
5, GPU1.CommandProcessor, kernel_time (force stop) 0, 0.000147204000
6, GPU1.chiplet_00.SA_00.CU_00, inst_count, 11700.000000000000
7, GPU1.chiplet_00.SA_00.CU_01, inst_count, 12168.000000000000
8, GPU1.chiplet_00.SA_00.CU_02, inst_count, 11700.000000000000
9, GPU1.chiplet_00.SA_00.CU_03, inst_count, 11232.000000000000
10, GPU1.chiplet_00.SA_01.CU_00, inst_count, 12168.000000000000
11, GPU1.chiplet_00.SA_01.CU_01, inst_count, 11232.000000000000
12, GPU1.chiplet_00.SA_01.CU_02, inst_count, 11700.000000000000
13, GPU1.chiplet_00.SA_01.CU_03, inst_count, 12168.000000000000
14, GPU1.chiplet_00.SA_02.CU_00, inst_count, 11232.000000000000
15, GPU1.chiplet_00.SA_02.CU_01, inst_count, 11232.000000000000
16, GPU1.chiplet_00.SA_02.CU_02, inst_count, 11700.000000000000
17, GPU1.chiplet_00.SA_02.CU_03, inst_count, 11700.000000000000
18, GPU1.chiplet_00.SA_03.CU_00, inst_count, 11700.000000000000
19, GPU1.chiplet_00.SA_03.CU_01, inst_count, 11232.000000000000
20, GPU1.chiplet_00.SA_03.CU_02, inst_count, 11232.000000000000
21, GPU1.chiplet_00.SA_03.CU_03, inst_count, 11232.000000000000
22, GPU1.chiplet_00.SA_04.CU_00, inst_count, 11700.000000000000
23, GPU1.chiplet_00.SA_04.CU_01, inst_count, 12168.000000000000
24, GPU1.chiplet_00.SA_04.CU_02, inst_count, 11700.000000000000
25, GPU1.chiplet_00.SA_04.CU_03, inst_count, 11232.000000000000
26, GPU1.chiplet_00.SA_05.CU_00, inst_count, 11700.000000000000
27, GPU1.chiplet_00.SA_05.CU_01, inst_count, 11700.000000000000
28, GPU1.chiplet_00.SA_05.CU_02, inst_count, 11232.000000000000
29, GPU1.chiplet_00.SA_05.CU_03, inst_count, 12168.000000000000
30, GPU1.chiplet_00.SA_06.CU_00, inst_count, 11232.000000000000
31, GPU1.chiplet_00.SA_06.CU_01, inst_count, 11232.000000000000
32, GPU1.chiplet_00.SA_06.CU_02, inst_count, 11700.000000000000
33, GPU1.chiplet_00.SA_06.CU_03, inst_count, 10764.000000000000
34, GPU1.chiplet_00.SA_07.CU_00, inst_count, 10764.000000000000
35, GPU1.chiplet_00.SA_07.CU_01, inst_count, 11232.000000000000
36, GPU1.chiplet_00.SA_07.CU_02, inst_count, 10764.000000000000
37, GPU1.chiplet_00.SA_07.CU_03, inst_count, 10296.000000000000
38, GPU1.chiplet_01.SA_00.CU_00, inst_count, 11700.000000000000
39, GPU1.chiplet_01.SA_00.CU_01, inst_count, 11700.000000000000
40, GPU1.chiplet_01.SA_00.CU_02, inst_count, 12168.000000000000
41, GPU1.chiplet_01.SA_00.CU_03, inst_count, 11232.000000000000
42, GPU1.chiplet_01.SA_01.CU_00, inst_count, 11700.000000000000
43, GPU1.chiplet_01.SA_01.CU_01, inst_count, 11700.000000000000
44, GPU1.chiplet_01.SA_01.CU_02, inst_count, 11700.000000000000
45, GPU1.chiplet_01.SA_01.CU_03, inst_count, 11232.000000000000
46, GPU1.chiplet_01.SA_02.CU_00, inst_count, 11700.000000000000
47, GPU1.chiplet_01.SA_02.CU_01, inst_count, 11232.000000000000
48, GPU1.chiplet_01.SA_02.CU_02, inst_count, 11232.000000000000
49, GPU1.chiplet_01.SA_02.CU_03, inst_count, 11700.000000000000
50, GPU1.chiplet_01.SA_03.CU_00, inst_count, 11700.000000000000
51, GPU1.chiplet_01.SA_03.CU_01, inst_count, 11700.000000000000
52, GPU1.chiplet_01.SA_03.CU_02, inst_count, 11232.000000000000
53, GPU1.chiplet_01.SA_03.CU_03, inst_count, 11700.000000000000
54, GPU1.chiplet_01.SA_04.CU_00, inst_count, 11700.000000000000
55, GPU1.chiplet_01.SA_04.CU_01, inst_count, 12168.000000000000
56, GPU1.chiplet_01.SA_04.CU_02, inst_count, 11700.000000000000
57, GPU1.chiplet_01.SA_04.CU_03, inst_count, 11232.000000000000
58, GPU1.chiplet_01.SA_05.CU_00, inst_count, 11232.000000000000
59, GPU1.chiplet_01.SA_05.CU_01, inst_count, 11232.000000000000
60, GPU1.chiplet_01.SA_05.CU_02, inst_count, 11232.000000000000
61, GPU1.chiplet_01.SA_05.CU_03, inst_count, 10764.000000000000
62, GPU1.chiplet_01.SA_06.CU_00, inst_count, 11232.000000000000
63, GPU1.chiplet_01.SA_06.CU_01, inst_count, 11700.000000000000
64, GPU1.chiplet_01.SA_06.CU_02, inst_count, 11232.000000000000
65, GPU1.chiplet_01.SA_06.CU_03, inst_count, 11232.000000000000
66, GPU1.chiplet_01.SA_07.CU_00, inst_count, 10764.000000000000
67, GPU1.chiplet_01.SA_07.CU_01, inst_count, 11700.000000000000
68, GPU1.chiplet_01.SA_07.CU_02, inst_count, 10764.000000000000
69, GPU1.chiplet_01.SA_07.CU_03, inst_count, 11700.000000000000
70, GPU1.chiplet_02.SA_00.CU_00, inst_count, 11232.000000000000
71, GPU1.chiplet_02.SA_00.CU_01, inst_count, 11700.000000000000
72, GPU1.chiplet_02.SA_00.CU_02, inst_count, 11700.000000000000
73, GPU1.chiplet_02.SA_00.CU_03, inst_count, 11232.000000000000
74, GPU1.chiplet_02.SA_01.CU_00, inst_count, 11700.000000000000
75, GPU1.chiplet_02.SA_01.CU_01, inst_count, 12168.000000000000
76, GPU1.chiplet_02.SA_01.CU_02, inst_count, 11700.000000000000
77, GPU1.chiplet_02.SA_01.CU_03, inst_count, 11232.000000000000
78, GPU1.chiplet_02.SA_02.CU_00, inst_count, 11232.000000000000
79, GPU1.chiplet_02.SA_02.CU_01, inst_count, 12168.000000000000
80, GPU1.chiplet_02.SA_02.CU_02, inst_count, 11700.000000000000
81, GPU1.chiplet_02.SA_02.CU_03, inst_count, 11700.000000000000
82, GPU1.chiplet_02.SA_03.CU_00, inst_count, 11232.000000000000
83, GPU1.chiplet_02.SA_03.CU_01, inst_count, 11232.000000000000
84, GPU1.chiplet_02.SA_03.CU_02, inst_count, 11232.000000000000
85, GPU1.chiplet_02.SA_03.CU_03, inst_count, 10764.000000000000
86, GPU1.chiplet_02.SA_04.CU_00, inst_count, 11700.000000000000
87, GPU1.chiplet_02.SA_04.CU_01, inst_count, 12168.000000000000
88, GPU1.chiplet_02.SA_04.CU_02, inst_count, 11700.000000000000
89, GPU1.chiplet_02.SA_04.CU_03, inst_count, 11232.000000000000
90, GPU1.chiplet_02.SA_05.CU_00, inst_count, 11232.000000000000
91, GPU1.chiplet_02.SA_05.CU_01, inst_count, 12168.000000000000
92, GPU1.chiplet_02.SA_05.CU_02, inst_count, 11700.000000000000
93, GPU1.chiplet_02.SA_05.CU_03, inst_count, 11700.000000000000
94, GPU1.chiplet_02.SA_06.CU_00, inst_count, 11232.000000000000
95, GPU1.chiplet_02.SA_06.CU_01, inst_count, 11232.000000000000
96, GPU1.chiplet_02.SA_06.CU_02, inst_count, 11232.000000000000
97, GPU1.chiplet_02.SA_06.CU_03, inst_count, 11232.000000000000
98, GPU1.chiplet_02.SA_07.CU_00, inst_count, 11700.000000000000
99, GPU1.chiplet_02.SA_07.CU_01, inst_count, 10296.000000000000
100, GPU1.chiplet_02.SA_07.CU_02, inst_count, 10764.000000000000
101, GPU1.chiplet_02.SA_07.CU_03, inst_count, 11700.000000000000
102, GPU1.chiplet_03.SA_00.CU_00, inst_count, 12168.000000000000
103, GPU1.chiplet_03.SA_00.CU_01, inst_count, 12168.000000000000
104, GPU1.chiplet_03.SA_00.CU_02, inst_count, 11700.000000000000
105, GPU1.chiplet_03.SA_00.CU_03, inst_count, 11232.000000000000
106, GPU1.chiplet_03.SA_01.CU_00, inst_count, 11700.000000000000
107, GPU1.chiplet_03.SA_01.CU_01, inst_count, 10764.000000000000
108, GPU1.chiplet_03.SA_01.CU_02, inst_count, 11700.000000000000
109, GPU1.chiplet_03.SA_01.CU_03, inst_count, 11700.000000000000
110, GPU1.chiplet_03.SA_02.CU_00, inst_count, 10296.000000000000
111, GPU1.chiplet_03.SA_02.CU_01, inst_count, 11700.000000000000
112, GPU1.chiplet_03.SA_02.CU_02, inst_count, 11232.000000000000
113, GPU1.chiplet_03.SA_02.CU_03, inst_count, 11232.000000000000
114, GPU1.chiplet_03.SA_03.CU_00, inst_count, 11700.000000000000
115, GPU1.chiplet_03.SA_03.CU_01, inst_count, 11232.000000000000
116, GPU1.chiplet_03.SA_03.CU_02, inst_count, 11700.000000000000
117, GPU1.chiplet_03.SA_03.CU_03, inst_count, 11232.000000000000
118, GPU1.chiplet_03.SA_04.CU_00, inst_count, 10764.000000000000
119, GPU1.chiplet_03.SA_04.CU_01, inst_count, 11700.000000000000
120, GPU1.chiplet_03.SA_04.CU_02, inst_count, 11700.000000000000
121, GPU1.chiplet_03.SA_04.CU_03, inst_count, 11700.000000000000
122, GPU1.chiplet_03.SA_05.CU_00, inst_count, 11700.000000000000
123, GPU1.chiplet_03.SA_05.CU_01, inst_count, 10764.000000000000
124, GPU1.chiplet_03.SA_05.CU_02, inst_count, 11700.000000000000
125, GPU1.chiplet_03.SA_05.CU_03, inst_count, 11700.000000000000
126, GPU1.chiplet_03.SA_06.CU_00, inst_count, 10764.000000000000
127, GPU1.chiplet_03.SA_06.CU_01, inst_count, 11700.000000000000
128, GPU1.chiplet_03.SA_06.CU_02, inst_count, 11700.000000000000
129, GPU1.chiplet_03.SA_06.CU_03, inst_count, 11700.000000000000
130, GPU1.chiplet_03.SA_07.CU_00, inst_count, 11232.000000000000
131, GPU1.chiplet_03.SA_07.CU_01, inst_count, 11700.000000000000
132, GPU1.chiplet_03.SA_07.CU_02, inst_count, 11700.000000000000
133, GPU1.chiplet_03.SA_07.CU_03, inst_count, 11232.000000000000
134, GPU1.chiplet_00.SA_00.CU_00, last_WG_finish_time, 0.000147586000
135, GPU1.chiplet_00.SA_00.CU_01, last_WG_finish_time, 0.000147568000
136, GPU1.chiplet_00.SA_00.CU_02, last_WG_finish_time, 0.000147118000
137, GPU1.chiplet_00.SA_00.CU_03, last_WG_finish_time, 0.000147278000
138, GPU1.chiplet_00.SA_01.CU_00, last_WG_finish_time, 0.000147583000
139, GPU1.chiplet_00.SA_01.CU_01, last_WG_finish_time, 0.000147288000
140, GPU1.chiplet_00.SA_01.CU_02, last_WG_finish_time, 0.000147239000
141, GPU1.chiplet_00.SA_01.CU_03, last_WG_finish_time, 0.000147592000
142, GPU1.chiplet_00.SA_02.CU_00, last_WG_finish_time, 0.000146990000
143, GPU1.chiplet_00.SA_02.CU_01, last_WG_finish_time, 0.000147350000
144, GPU1.chiplet_00.SA_02.CU_02, last_WG_finish_time, 0.000147517000
145, GPU1.chiplet_00.SA_02.CU_03, last_WG_finish_time, 0.000147114000
146, GPU1.chiplet_00.SA_03.CU_00, last_WG_finish_time, 0.000147574000
147, GPU1.chiplet_00.SA_03.CU_01, last_WG_finish_time, 0.000147288000
148, GPU1.chiplet_00.SA_03.CU_02, last_WG_finish_time, 0.000147412000
149, GPU1.chiplet_00.SA_03.CU_03, last_WG_finish_time, 0.000147280000
150, GPU1.chiplet_00.SA_04.CU_00, last_WG_finish_time, 0.000147360000
151, GPU1.chiplet_00.SA_04.CU_01, last_WG_finish_time, 0.000147917000
152, GPU1.chiplet_00.SA_04.CU_02, last_WG_finish_time, 0.000147378000
153, GPU1.chiplet_00.SA_04.CU_03, last_WG_finish_time, 0.000147283000
154, GPU1.chiplet_00.SA_05.CU_00, last_WG_finish_time, 0.000147127000
155, GPU1.chiplet_00.SA_05.CU_01, last_WG_finish_time, 0.000147753000
156, GPU1.chiplet_00.SA_05.CU_02, last_WG_finish_time, 0.000147244000
157, GPU1.chiplet_00.SA_05.CU_03, last_WG_finish_time, 0.000147850000
158, GPU1.chiplet_00.SA_06.CU_00, last_WG_finish_time, 0.000147425000
159, GPU1.chiplet_00.SA_06.CU_01, last_WG_finish_time, 0.000147254000
160, GPU1.chiplet_00.SA_06.CU_02, last_WG_finish_time, 0.000147774000
161, GPU1.chiplet_00.SA_06.CU_03, last_WG_finish_time, 0.000147287000
162, GPU1.chiplet_00.SA_07.CU_00, last_WG_finish_time, 0.000147230000
163, GPU1.chiplet_00.SA_07.CU_01, last_WG_finish_time, 0.000147636000
164, GPU1.chiplet_00.SA_07.CU_02, last_WG_finish_time, 0.000147172000
165, GPU1.chiplet_00.SA_07.CU_03, last_WG_finish_time, 0.000147001000
166, GPU1.chiplet_01.SA_00.CU_00, last_WG_finish_time, 0.000148073000
167, GPU1.chiplet_01.SA_00.CU_01, last_WG_finish_time, 0.000148235000
168, GPU1.chiplet_01.SA_00.CU_02, last_WG_finish_time, 0.000148332000
169, GPU1.chiplet_01.SA_00.CU_03, last_WG_finish_time, 0.000147973000
170, GPU1.chiplet_01.SA_01.CU_00, last_WG_finish_time, 0.000148025000
171, GPU1.chiplet_01.SA_01.CU_01, last_WG_finish_time, 0.000147890000
172, GPU1.chiplet_01.SA_01.CU_02, last_WG_finish_time, 0.000147929000
173, GPU1.chiplet_01.SA_01.CU_03, last_WG_finish_time, 0.000148226000
174, GPU1.chiplet_01.SA_02.CU_00, last_WG_finish_time, 0.000148082000
175, GPU1.chiplet_01.SA_02.CU_01, last_WG_finish_time, 0.000148012000
176, GPU1.chiplet_01.SA_02.CU_02, last_WG_finish_time, 0.000148003000
177, GPU1.chiplet_01.SA_02.CU_03, last_WG_finish_time, 0.000147957000
178, GPU1.chiplet_01.SA_03.CU_00, last_WG_finish_time, 0.000148135000
179, GPU1.chiplet_01.SA_03.CU_01, last_WG_finish_time, 0.000148329000
180, GPU1.chiplet_01.SA_03.CU_02, last_WG_finish_time, 0.000147893000
181, GPU1.chiplet_01.SA_03.CU_03, last_WG_finish_time, 0.000148216000
182, GPU1.chiplet_01.SA_04.CU_00, last_WG_finish_time, 0.000148202000
183, GPU1.chiplet_01.SA_04.CU_01, last_WG_finish_time, 0.000148518000
184, GPU1.chiplet_01.SA_04.CU_02, last_WG_finish_time, 0.000148423000
185, GPU1.chiplet_01.SA_04.CU_03, last_WG_finish_time, 0.000148176000
186, GPU1.chiplet_01.SA_05.CU_00, last_WG_finish_time, 0.000147828000
187, GPU1.chiplet_01.SA_05.CU_01, last_WG_finish_time, 0.000147764000
188, GPU1.chiplet_01.SA_05.CU_02, last_WG_finish_time, 0.000147851000
189, GPU1.chiplet_01.SA_05.CU_03, last_WG_finish_time, 0.000147718000
190, GPU1.chiplet_01.SA_06.CU_00, last_WG_finish_time, 0.000148165000
191, GPU1.chiplet_01.SA_06.CU_01, last_WG_finish_time, 0.000148338000
192, GPU1.chiplet_01.SA_06.CU_02, last_WG_finish_time, 0.000148370000
193, GPU1.chiplet_01.SA_06.CU_03, last_WG_finish_time, 0.000148079000
194, GPU1.chiplet_01.SA_07.CU_00, last_WG_finish_time, 0.000148246000
195, GPU1.chiplet_01.SA_07.CU_01, last_WG_finish_time, 0.000148398000
196, GPU1.chiplet_01.SA_07.CU_02, last_WG_finish_time, 0.000147716000
